Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone Mean Air Temperature [C](Hourly),SPACE1-1:Zone Operative Temperature [C](Hourly),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly)
 07/08  01:00:00,24.312500000000004,22.11172798083071,22.00794277197185,29.4,16.7,0.0
 07/08  02:00:00,24.2,21.957052766320793,21.861913596860816,29.4,16.7,0.0
 07/08  03:00:00,24.2,21.843398235925527,21.753422439294553,29.4,16.7,0.0
 07/08  04:00:00,24.3875,21.76454378584375,21.677920378767343,29.4,16.7,0.0
 07/08  05:00:00,24.75,21.724451618328338,21.6379439909433,29.4,16.7,0.0
 07/08  06:00:00,25.2125,21.715350203394067,21.62683452697283,29.4,16.7,0.0
 07/08  07:00:00,25.775,22.199397851516625,21.940819813936734,23.9,22.2,13.998942232048925
 07/08  08:00:00,26.437500000000004,22.20025963645556,22.10806693311864,23.9,22.2,48.01024671191084
 07/08  09:00:00,27.075,23.331358543628937,23.2223826683502,23.9,22.2,794.2444820485349
 07/08  10:00:00,27.674999999999997,23.897919818712502,24.037508843602666,23.9,22.2,1694.2870650198931
 07/08  11:00:00,28.2125,23.898018882623845,24.335326799723227,23.9,22.2,2121.758770596877
 07/08  12:00:00,28.65,23.89837033697613,24.483157766828057,23.9,22.2,2215.157294751253
 07/08  13:00:00,28.987500000000004,23.89897829539553,24.513468543871774,23.9,22.2,2028.7984869331751
 07/08  14:00:00,29.1625,23.89888189690298,24.59251206695098,23.9,22.2,2347.3855641589666
 07/08  15:00:00,29.137500000000003,23.898478973062915,24.64860475166733,23.9,22.2,2462.990572180777
 07/08  16:00:00,28.9125,23.898404959115915,24.617086363872907,23.9,22.2,2344.304668928183
 07/08  17:00:00,28.549999999999997,23.898540423821885,24.492871071831175,23.9,22.2,2015.6272267529266
 07/08  18:00:00,28.0875,23.89854403498782,24.306546637396355,23.9,22.2,1744.1547545909457
 07/08  19:00:00,27.525,23.86917905033306,23.975417571514036,23.9,22.2,896.1225273207509
 07/08  20:00:00,26.925,22.956738613307557,23.153979691230575,23.9,22.2,765.2291184825432
 07/08  21:00:00,26.2625,23.10352562282739,22.96948591432318,29.4,16.7,0.0
 07/08  22:00:00,25.625,22.899187369151665,22.738388910061595,29.4,16.7,0.0
 07/08  23:00:00,25.0875,22.563167204247325,22.432624410430964,29.4,16.7,0.0
 07/08  24:00:00,24.65,22.312187066679357,22.19681994748684,29.4,16.7,0.0
 07/09  01:00:00,24.374999999999996,22.11450328842686,22.010623621012638,29.4,16.7,0.0
 07/09  02:00:00,24.2375,21.962035594953136,21.86623441276203,29.4,16.7,0.0
 07/09  03:00:00,24.2625,21.848427360578295,21.758175048243338,29.4,16.7,0.0
 07/09  04:00:00,24.487500000000004,21.774453950497076,21.68694938585552,29.4,16.7,0.0
 07/09  05:00:00,24.85,21.736694214494815,21.649102040012636,29.4,16.7,0.0
 07/09  06:00:00,25.3125,21.729255094846152,21.639545502242022,29.4,16.7,0.0
 07/09  07:00:00,25.875,22.1991391976022,21.94534395864771,23.9,22.2,13.477182565002419
