city,scenario,target_year,window_start,window_end,hours,mean_temp_C,max_temp_C,peak_temp_datetime,mean_RH_percent,mean_wind_m_s,max_GHI_W_m2,hours_temp_ge_30C,degree_hours_above_30C,hot_humid_hours_temp_ge_30C_RH_ge_60,hot_still_hours_temp_ge_30C_wind_le_1ms,hot_sunny_hours_temp_ge_30C_GHI_ge_600,slice_file
Guangzhou,ssp245,2025,2025-07-18 00:00:00,2025-07-31 23:00:00,336,31.166,34.802,2025-07-26 15:00:00,76.206,2.007,806.042,214,496.614,214,0,70,outputs/slices/Guangzhou_ssp245_2025_hot14.csv
Guangzhou,ssp245,2050,2050-07-17 00:00:00,2050-07-30 23:00:00,336,32.126,35.817,2050-07-27 15:00:00,76.266,1.629,693.723,281,739.662,281,64,44,outputs/slices/Guangzhou_ssp245_2050_hot14.csv
Guangzhou,ssp245,2080,2080-06-03 00:00:00,2080-06-16 23:00:00,336,31.314,34.261,2080-06-10 15:00:00,79.959,3.341,676.396,245,495.905,245,0,44,outputs/slices/Guangzhou_ssp245_2080_hot14.csv
Guangzhou,ssp585,2025,2025-07-08 00:00:00,2025-07-21 23:00:00,336,30.745,34.203,2025-07-19 15:00:00,76.225,2.317,710.329,193,408.536,193,8,56,outputs/slices/Guangzhou_ssp585_2025_hot14.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,336,31.991,35.912,2050-07-12 15:00:00,76.318,2.190,728.392,272,707.052,272,14,56,outputs/slices/Guangzhou_ssp585_2050_hot14.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,336,32.955,37.729,2080-08-26 15:00:00,75.855,1.262,708.029,307,1007.861,307,77,56,outputs/slices/Guangzhou_ssp585_2080_hot14.csv
Phoenix,ssp245,2025,2025-07-14 00:00:00,2025-07-27 23:00:00,336,36.972,43.059,2025-07-27 16:00:00,29.246,3.189,892.889,336,2342.754,0,0,98,outputs/slices/Phoenix_ssp245_2025_hot14.csv
Phoenix,ssp245,2050,2050-06-08 00:00:00,2050-06-21 23:00:00,336,36.364,45.561,2050-06-18 16:00:00,17.903,2.769,901.373,300,2190.223,0,0,98,outputs/slices/Phoenix_ssp245_2050_hot14.csv
Phoenix,ssp245,2080,2080-06-30 09:00:00,2080-07-14 08:00:00,336,38.306,46.150,2080-07-06 16:00:00,28.509,3.249,972.880,330,2793.432,0,0,98,outputs/slices/Phoenix_ssp245_2080_hot14.csv
Phoenix,ssp585,2025,2025-07-13 00:00:00,2025-07-26 23:00:00,336,38.868,45.685,2025-07-22 16:00:00,29.203,3.271,897.622,336,2979.691,0,0,98,outputs/slices/Phoenix_ssp585_2025_hot14.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,336,39.498,46.504,2050-09-07 15:00:00,31.328,3.387,924.014,336,3191.305,0,0,86,outputs/slices/Phoenix_ssp585_2050_hot14.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,336,42.433,49.442,2080-07-13 16:00:00,29.051,3.259,818.867,336,4177.622,0,0,84,outputs/slices/Phoenix_ssp585_2080_hot14.csv
