city,scenario,target_year,window_start,window_end,hour_index,datetime,temp_C,pressure_hPa,wind_speed_m_s,GHI_W_m2,DHI_W_m2,DNI_W_m2,relative_humidity_percent,specific_humidity_kg_kg,source_file
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,0,2050-07-11 00:00:00,30.450,1007.765,1.727,0.000,0.000,0.000,82.599,0.019429,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,1,2050-07-11 01:00:00,30.244,1007.675,1.653,0.000,0.000,0.000,83.573,0.019435,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,2,2050-07-11 02:00:00,29.783,1007.000,1.056,0.000,0.000,0.000,85.981,0.019469,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,3,2050-07-11 03:00:00,29.827,1006.943,1.502,0.000,0.000,0.000,85.508,0.019431,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,4,2050-07-11 04:00:00,29.648,1006.894,1.457,0.000,0.000,0.000,86.289,0.019410,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,5,2050-07-11 05:00:00,29.237,1006.700,0.964,0.000,0.000,0.000,88.279,0.019380,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,6,2050-07-11 06:00:00,29.346,1006.798,1.342,2.452,2.182,1.822,87.523,0.019356,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,7,2050-07-11 07:00:00,29.796,1006.933,1.433,161.340,132.765,77.576,85.865,0.019489,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,8,2050-07-11 08:00:00,30.712,1007.653,1.347,325.862,271.471,94.784,82.414,0.019668,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,9,2050-07-11 09:00:00,31.754,1007.697,1.990,464.595,386.449,104.154,76.808,0.019443,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,10,2050-07-11 10:00:00,32.687,1007.754,2.161,588.221,448.706,157.521,72.149,0.019232,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,11,2050-07-11 11:00:00,33.469,1007.712,1.766,649.759,478.469,176.441,69.238,0.019238,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,12,2050-07-11 12:00:00,34.142,1007.583,2.391,723.782,542.387,181.424,65.784,0.018932,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,13,2050-07-11 13:00:00,34.474,1007.405,2.499,669.468,547.107,126.039,64.026,0.018704,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,14,2050-07-11 14:00:00,34.489,1006.215,1.850,627.176,486.639,158.675,64.879,0.018934,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,15,2050-07-11 15:00:00,34.607,1006.053,2.524,496.914,424.956,95.906,63.658,0.018601,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,16,2050-07-11 16:00:00,34.453,1005.877,2.472,387.035,338.151,85.189,63.989,0.018525,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,17,2050-07-11 17:00:00,33.700,1005.130,1.788,217.535,202.506,40.800,67.961,0.018938,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,18,2050-07-11 18:00:00,33.388,1005.166,2.345,77.270,75.544,11.675,68.555,0.018810,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,19,2050-07-11 19:00:00,32.647,1005.290,2.178,0.000,0.000,0.000,71.996,0.019035,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,20,2050-07-11 20:00:00,31.586,1006.335,1.478,0.000,0.000,0.000,77.531,0.019395,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,21,2050-07-11 21:00:00,31.491,1006.461,2.015,0.000,0.000,0.000,77.730,0.019377,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,22,2050-07-11 22:00:00,31.115,1006.727,1.943,0.000,0.000,0.000,79.640,0.019452,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,23,2050-07-11 23:00:00,30.486,1007.769,1.242,0.000,0.000,0.000,83.010,0.019541,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,24,2050-07-12 00:00:00,31.756,1004.867,1.635,0.000,0.000,0.000,82.460,0.019488,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,25,2050-07-12 01:00:00,31.549,1004.778,1.564,0.000,0.000,0.000,83.435,0.019493,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,26,2050-07-12 02:00:00,31.089,1004.103,0.995,0.000,0.000,0.000,85.843,0.019528,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,27,2050-07-12 03:00:00,31.132,1004.045,1.420,0.000,0.000,0.000,85.369,0.019490,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,28,2050-07-12 04:00:00,30.954,1003.997,1.377,0.000,0.000,0.000,86.150,0.019469,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,29,2050-07-12 05:00:00,30.542,1003.803,0.907,0.000,0.000,0.000,88.141,0.019438,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2050,2050-07-11 00:00:00,2050-07-24 23:00:00,30,2050-07-12 06:00:00,30.652,1003.900,1.267,4.298,3.941,2.429,87.385,0.019415,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
