city,scenario,target_year,window_start,window_end,hour_index,datetime,temp_C,pressure_hPa,wind_speed_m_s,GHI_W_m2,DHI_W_m2,DNI_W_m2,relative_humidity_percent,specific_humidity_kg_kg,source_file
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,0,2080-07-03 00:00:00,39.292,1007.599,2.375,0.000,0.000,0.000,31.987,0.009720,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,1,2080-07-03 01:00:00,38.492,1007.652,2.144,0.000,0.000,0.000,33.722,0.009871,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,2,2080-07-03 02:00:00,37.778,1007.698,2.015,0.000,0.000,0.000,35.199,0.009946,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,3,2080-07-03 03:00:00,37.049,1007.855,1.863,0.000,0.000,0.000,37.039,0.010103,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,4,2080-07-03 04:00:00,36.340,1008.192,1.766,0.000,0.000,0.000,38.698,0.010208,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,5,2080-07-03 05:00:00,35.972,1008.540,1.747,0.000,0.000,0.000,39.575,0.010242,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,6,2080-07-03 06:00:00,35.817,1009.221,1.832,35.578,21.340,66.418,40.154,0.010313,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,7,2080-07-03 07:00:00,36.771,1009.753,2.031,253.627,49.915,492.868,38.161,0.010282,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,8,2080-07-03 08:00:00,38.175,1010.145,2.191,426.648,42.046,642.381,35.156,0.010177,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,9,2080-07-03 09:00:00,39.782,1010.211,2.113,583.102,30.824,728.680,31.598,0.009933,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,10,2080-07-03 10:00:00,41.463,1010.062,2.002,706.019,16.077,783.959,28.158,0.009640,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,11,2080-07-03 11:00:00,42.505,1009.832,2.027,788.202,4.091,819.456,26.260,0.009499,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,12,2080-07-03 12:00:00,43.888,1009.127,2.233,818.867,0.000,834.440,23.835,0.009267,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,13,2080-07-03 13:00:00,44.939,1008.314,2.474,801.231,0.000,837.668,22.099,0.009088,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,14,2080-07-03 14:00:00,45.768,1007.438,2.785,732.954,8.068,823.665,20.783,0.008936,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,15,2080-07-03 15:00:00,46.268,1006.581,3.035,616.423,17.432,790.314,19.935,0.008805,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,16,2080-07-03 16:00:00,46.377,1005.793,3.306,466.584,31.371,726.912,19.703,0.008721,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,17,2080-07-03 17:00:00,46.284,1005.427,3.421,294.877,41.687,612.576,19.788,0.008696,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,18,2080-07-03 18:00:00,45.694,1005.259,3.577,126.040,45.156,377.316,20.423,0.008675,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2080,2080-07-03 00:00:00,2080-07-16 23:00:00,19,2080-07-03 19:00:00,44.716,1005.511,3.487,0.000,0.000,0.000,21.866,0.008780,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
