city,scenario,target_year,window_start,window_end,hour_index,datetime,temp_C,pressure_hPa,wind_speed_m_s,GHI_W_m2,DHI_W_m2,DNI_W_m2,relative_humidity_percent,specific_humidity_kg_kg,source_file
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,0,2080-08-14 00:00:00,32.505,1012.147,1.620,0.000,0.000,0.000,81.123,0.019102,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,1,2080-08-14 01:00:00,32.272,1012.024,1.553,0.000,0.000,0.000,82.222,0.019105,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,2,2080-08-14 02:00:00,31.715,1011.391,0.958,0.000,0.000,0.000,85.931,0.019338,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,3,2080-08-14 03:00:00,31.771,1011.279,1.391,0.000,0.000,0.000,84.740,0.019154,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,4,2080-08-14 04:00:00,31.615,1011.257,1.351,0.000,0.000,0.000,85.126,0.019075,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,5,2080-08-14 05:00:00,31.191,1011.109,0.819,0.000,0.000,0.000,87.843,0.019194,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,6,2080-08-14 06:00:00,31.298,1011.223,1.253,4.346,4.214,1.409,86.405,0.019006,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,7,2080-08-14 07:00:00,31.613,1011.407,1.334,134.831,113.271,66.389,85.356,0.019123,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,8,2080-08-14 08:00:00,32.530,1012.133,1.187,299.506,263.509,66.641,82.472,0.019444,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,9,2080-08-14 09:00:00,33.614,1012.211,1.832,455.485,383.150,99.754,75.978,0.019047,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,10,2080-08-14 10:00:00,34.618,1012.332,2.024,590.530,470.069,138.929,71.445,0.018932,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,11,2080-08-14 11:00:00,35.529,1012.337,1.626,677.088,476.135,210.137,68.931,0.019188,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,12,2080-08-14 12:00:00,36.132,1012.153,2.182,708.029,552.045,158.083,64.859,0.018654,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,13,2080-08-14 13:00:00,36.481,1011.870,2.229,685.284,527.772,164.712,63.460,0.018532,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,14,2080-08-14 14:00:00,36.703,1010.583,1.736,632.620,471.630,185.671,63.940,0.018888,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,15,2080-08-14 15:00:00,36.754,1010.318,2.374,519.873,423.627,132.729,62.164,0.018344,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,16,2080-08-14 16:00:00,36.549,1010.115,2.431,369.369,332.727,67.835,62.949,0.018332,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,17,2080-08-14 17:00:00,35.825,1009.474,1.706,192.406,181.083,34.867,67.339,0.018880,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,18,2080-08-14 18:00:00,35.358,1009.515,2.279,46.482,46.351,1.409,67.838,0.018544,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
Guangzhou,ssp585,2080,2080-08-14 00:00:00,2080-08-27 23:00:00,19,2080-08-14 19:00:00,34.545,1009.710,2.059,0.000,0.000,0.000,71.259,0.018681,forecast_Guangzhou_CMIP6_MPI_0515_ssp585.csv
