city,scenario,target_year,window_start,window_end,hour_index,datetime,temp_C,pressure_hPa,wind_speed_m_s,GHI_W_m2,DHI_W_m2,DNI_W_m2,relative_humidity_percent,specific_humidity_kg_kg,source_file
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,0,2050-08-30 00:00:00,36.758,1008.036,1.743,0.000,0.000,0.000,37.591,0.011044,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,1,2050-08-30 01:00:00,36.067,1008.073,1.626,0.000,0.000,0.000,39.317,0.011178,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,2,2050-08-30 02:00:00,35.411,1008.079,1.451,0.000,0.000,0.000,41.154,0.011318,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,3,2050-08-30 03:00:00,34.842,1008.172,1.429,0.000,0.000,0.000,42.706,0.011414,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,4,2050-08-30 04:00:00,34.245,1008.394,1.353,0.000,0.000,0.000,44.623,0.011573,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,5,2050-08-30 05:00:00,33.916,1008.642,1.323,0.000,0.000,0.000,45.612,0.011629,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,6,2050-08-30 06:00:00,33.648,1009.308,1.320,3.635,3.157,5.884,46.677,0.011738,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,7,2050-08-30 07:00:00,34.315,1009.873,1.475,224.226,83.364,477.673,44.954,0.011709,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,8,2050-08-30 08:00:00,35.660,1010.235,1.585,413.539,102.689,629.341,41.580,0.011640,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,9,2050-08-30 09:00:00,37.188,1010.372,1.522,591.486,113.079,719.576,37.555,0.011425,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,10,2050-08-30 10:00:00,38.870,1010.280,1.463,736.298,118.739,775.834,33.530,0.011171,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,11,2050-08-30 11:00:00,39.916,1010.016,1.473,834.827,116.511,817.720,30.960,0.010954,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,12,2050-08-30 12:00:00,41.300,1009.250,1.539,865.111,115.790,826.557,27.803,0.010585,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,13,2050-08-30 13:00:00,42.353,1008.434,1.722,846.821,114.375,833.807,25.646,0.010357,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,14,2050-08-30 14:00:00,43.135,1007.504,1.844,763.120,113.126,816.582,23.964,0.010125,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,15,2050-08-30 15:00:00,43.632,1006.559,1.976,623.031,108.741,773.548,22.762,0.009889,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,16,2050-08-30 16:00:00,43.761,1005.831,2.083,448.433,100.764,703.885,22.032,0.009658,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,17,2050-08-30 17:00:00,43.625,1005.540,2.192,251.665,83.510,570.223,22.197,0.009634,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,18,2050-08-30 18:00:00,42.853,1005.499,2.279,67.425,47.706,242.542,23.485,0.009722,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,19,2050-08-30 19:00:00,41.752,1005.860,2.309,0.000,0.000,0.000,25.399,0.009852,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,20,2050-08-30 20:00:00,40.492,1006.521,2.098,0.000,0.000,0.000,28.105,0.010116,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,21,2050-08-30 21:00:00,39.247,1007.232,1.906,0.000,0.000,0.000,31.223,0.010462,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,22,2050-08-30 22:00:00,38.207,1007.652,1.773,0.000,0.000,0.000,33.748,0.010696,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,23,2050-08-30 23:00:00,37.611,1007.821,1.733,0.000,0.000,0.000,35.312,0.010836,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,24,2050-08-31 00:00:00,37.478,1008.465,3.367,0.000,0.000,0.000,38.072,0.011077,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,25,2050-08-31 01:00:00,36.787,1008.502,3.141,0.000,0.000,0.000,39.798,0.011211,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,26,2050-08-31 02:00:00,36.131,1008.507,2.805,0.000,0.000,0.000,41.634,0.011351,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,27,2050-08-31 03:00:00,35.562,1008.600,2.763,0.000,0.000,0.000,43.186,0.011447,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,28,2050-08-31 04:00:00,34.965,1008.823,2.615,0.000,0.000,0.000,45.103,0.011606,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,29,2050-08-31 05:00:00,34.636,1009.071,2.558,0.000,0.000,0.000,46.092,0.011662,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,30,2050-08-31 06:00:00,34.368,1009.737,2.553,3.061,2.687,4.814,47.157,0.011772,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,31,2050-08-31 07:00:00,35.035,1010.301,2.851,222.756,83.825,476.604,45.435,0.011742,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,32,2050-08-31 08:00:00,36.380,1010.663,3.062,411.772,103.460,628.272,42.061,0.011673,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,33,2050-08-31 09:00:00,37.908,1010.801,2.942,589.546,114.030,718.506,38.036,0.011459,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,34,2050-08-31 10:00:00,39.590,1010.708,2.828,734.254,119.799,774.764,34.011,0.011204,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,35,2050-08-31 11:00:00,40.636,1010.445,2.848,832.711,117.645,816.650,31.440,0.010987,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,36,2050-08-31 12:00:00,42.020,1009.679,2.975,862.979,116.940,825.488,28.283,0.010618,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,37,2050-08-31 13:00:00,43.073,1008.863,3.326,844.683,115.532,832.737,26.126,0.010390,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,38,2050-08-31 14:00:00,43.855,1007.933,3.560,761.017,114.246,815.512,24.445,0.010158,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,39,2050-08-31 15:00:00,44.352,1006.987,3.815,621.010,109.775,772.478,23.242,0.009922,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,40,2050-08-31 16:00:00,44.481,1006.259,4.021,446.549,101.656,702.815,22.513,0.009691,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,41,2050-08-31 17:00:00,44.345,1005.969,4.231,250.042,84.131,569.154,22.677,0.009667,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,42,2050-08-31 18:00:00,43.573,1005.928,4.399,66.434,47.670,241.473,23.966,0.009755,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,43,2050-08-31 19:00:00,42.472,1006.289,4.456,0.000,0.000,0.000,25.879,0.009885,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,44,2050-08-31 20:00:00,41.212,1006.950,4.050,0.000,0.000,0.000,28.585,0.010150,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,45,2050-08-31 21:00:00,39.967,1007.660,3.681,0.000,0.000,0.000,31.704,0.010495,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,46,2050-08-31 22:00:00,38.927,1008.081,3.424,0.000,0.000,0.000,34.228,0.010729,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,47,2050-08-31 23:00:00,38.331,1008.249,3.348,0.000,0.000,0.000,35.793,0.010870,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,48,2050-09-01 00:00:00,35.787,1008.892,2.406,0.000,0.000,0.000,34.960,0.008880,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,49,2050-09-01 01:00:00,34.956,1009.001,2.300,0.000,0.000,0.000,36.987,0.008977,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,50,2050-09-01 02:00:00,34.216,1009.054,2.350,0.000,0.000,0.000,38.684,0.009020,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,51,2050-09-01 03:00:00,33.552,1009.101,2.314,0.000,0.000,0.000,40.225,0.009059,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,52,2050-09-01 04:00:00,32.965,1009.309,2.341,0.000,0.000,0.000,41.504,0.009059,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,53,2050-09-01 05:00:00,32.625,1009.558,2.385,0.000,0.000,0.000,42.298,0.009050,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
Phoenix,ssp585,2050,2050-08-30 00:00:00,2050-09-12 23:00:00,54,2050-09-01 06:00:00,32.321,1010.179,2.517,0.000,0.000,0.000,43.269,0.009091,forecast_Phoenix_CMIP6_MPI_0515_ssp585.csv
