timestamp,source_timestamp,variable,value_C,threshold_C,exceeds,degree_hours
2025-07-08 01:00:00, 07/08  01:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),22.008,24.000,0,0.000
2025-07-08 02:00:00, 07/08  02:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),21.862,24.000,0,0.000
2025-07-08 03:00:00, 07/08  03:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),21.753,24.000,0,0.000
2025-07-08 04:00:00, 07/08  04:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),21.678,24.000,0,0.000
2025-07-08 05:00:00, 07/08  05:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),21.638,24.000,0,0.000
2025-07-08 06:00:00, 07/08  06:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),21.627,24.000,0,0.000
2025-07-08 07:00:00, 07/08  07:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),21.941,24.000,0,0.000
2025-07-08 08:00:00, 07/08  08:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),22.108,24.000,0,0.000
2025-07-08 09:00:00, 07/08  09:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),23.222,24.000,0,0.000
2025-07-08 10:00:00, 07/08  10:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),24.038,24.000,1,0.038
2025-07-08 11:00:00, 07/08  11:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),24.335,24.000,1,0.335
2025-07-08 12:00:00, 07/08  12:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),24.483,24.000,1,0.483
2025-07-08 13:00:00, 07/08  13:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),24.513,24.000,1,0.513
2025-07-08 14:00:00, 07/08  14:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),24.593,24.000,1,0.593
2025-07-08 15:00:00, 07/08  15:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),24.649,24.000,1,0.649
2025-07-08 16:00:00, 07/08  16:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),24.617,24.000,1,0.617
2025-07-08 17:00:00, 07/08  17:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),24.493,24.000,1,0.493
2025-07-08 18:00:00, 07/08  18:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),24.307,24.000,1,0.307
2025-07-08 19:00:00, 07/08  19:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),23.975,24.000,0,0.000
2025-07-08 20:00:00, 07/08  20:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),23.154,24.000,0,0.000
2025-07-08 21:00:00, 07/08  21:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),22.969,24.000,0,0.000
2025-07-08 22:00:00, 07/08  22:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),22.738,24.000,0,0.000
2025-07-08 23:00:00, 07/08  23:00:00,SPACE1-1:Zone Operative Temperature [C](Hourly),22.433,24.000,0,0.000
